number,group,family,species,animal
323,Oribatida,NA,Oribatida juv.,1
324,Oribatida,Liacaridae,Liacarus xylariae,1
325,Oribatida,Scheloribatidae,Liebstadia humerata,1
326,Oribatida,Scheloribatidae,Liebstadia similis,1
327,Collembola,Tullbergiidae,Stenaphorura quadrispina,1
328,Collembola,Tomoceridae,Tomocerus baudoti,1
329,Collembola,Tomoceridae,Tomocerus minor,1
330,Oribatida,Damaeidae,Metabelba pulverosa,1
331,Oribatida,Oppiidae,Microppia minus,1
332,Oribatida,Nanhermanniidae,Nanhermannia nana,1
333,Oribatida,Oppiidae,Neotrichoppia confinis,1
334,Oribatida,Nothridae,Nothrus palustris,1
335,Oribatida,Nothridae,Nothrus silvestris,1
336,Oribatida,Oribatellidae,Ophidiotrichus tectus,1
337,Oribatida,Oppiidae,Oppiella falcata,1
338,Oribatida,Oppiidae,Oppiella nova,1
339,Oribatida,Oppiidae,Oppiella subpectinata,1
340,Oribatida,Oppiidae,Oppiella marginedentata,1
341,Oribatida,Oppiidae,Oppiella obsoleta,1
342,Oribatida,Oribatellidae,Oribatella calcarata,1
343,Oribatida,Oribatulidae,Oribatula tibialis,1
344,Oribatida,Thyrisomidae,Pantelozetes paolii,1
345,Oribatida,Phthiracaridae,Phthiracarus anonymus,1
346,Oribatida,Phthiracaridae,Phthiracarus borosetosus,1
347,Oribatida,Phthiracaridae,Phthiracarus clavatus,1
348,Oribatida,Phthiracaridae,Phthiracarus compressus,1
349,Oribatida,Phthiracaridae,Phthiracarus globosus,1
350,Oribatida,Phthiracaridae,Phthiracarus lentulus,1
351,Oribatida,Phthiracaridae,Phthiracarus longulus,1
352,Oribatida,Galumnidae,Pilogalumna tenuiclava,1
353,Oribatida,Camisiidae,Platynothrus peltifer,1
354,Collembola,Isotomidae,Ballistura cf. hankoi,1
355,Oribatida,Damaeidae,Porobelba spinosa,1
356,Oribatida,Quadroppiidae,Quadroppia monstruosa,1
357,Oribatida,Quadroppiidae,Quadroppia quadricarinata,1
358,Oribatida,Scheloribatidae,Scheloribates laevigatus,1
359,Collembola,Isotomidae,Proisotoma minuta,1
360,Collembola,Onychiuridae,Protaphorura fimata,1
361,Collembola,Onychiuridae,Protaphorura sp.,1
362,Collembola,Onychiuridae,Protaphorura quadriocellata,1
363,Collembola,Isotomidae,Pseudanurophorus binoculatus,1
364,Collembola,Entomobryidae,Pseudosinella alba,1
365,Oribatida,Phthiracaridae,Steganacarus magnus,1
366,Oribatida,Suctobelbidae,Suctobelba altvateri,1
367,Collembola,Entomobryidae,Pseudosinella ksenemani,1
368,Collembola,Sminthurididae,Sminthuridae juv.,1
369,Collembola,Katiannidae,Sminthurinus niger,1
370,Collembola,Sminthurididae,Sphaeridia pumilis,1
371,Oribatida,Tectocepheidae,Tectocepheus minor,1
372,Oribatida,Tectocepheidae,Tectocepheus velatus alatus,1
373,Oribatida,Tectocepheidae,Tectocepheus velatus sarekensis,1
374,Oribatida,Cepheidae,Tritegeus bisulcatus,1
375,Isopoda,Trichoniscidae,Trichoniscus pusillus {s},1
376,Isopoda,Porcellionidae,Porcellio spinicornis,1
377,Isopoda,Oniscidae,Oniscidae juv ?,1
378,Diplopoda,Chordeumatidae,Melogona voigti cf,1
379,Isopoda,Ligiidae,Ligidium hypnorum,1
380,Isopoda,Oniscidae,Oniscus asellus,1
381,Isopoda,Trichoniscidae,Haplophthalmus mengei,1
382,Diplopoda,Julidae,Allaiulus nitidus juv,1
383,Diplopoda,Julidae,Allaiulus nitidus {xl},1
384,Diplopoda,Chordeumatidae,Chordeuma silvestre,1
385,NA,NA,NA,0
386,Diplopoda,Diplopoda,Diplopoda juv,1
387,Diplopoda,Glomeridae,Geoglomeris subteraneus cf,1
388,Diplopoda,Glomeridae,Glomeris connexa,1
389,Collembola,Hypogastruridae,Ceratophysella succinea,1
390,Diplopoda,Glomeridae,Glomeris conspersa {l},1
391,Collembola,Sminthuridae,Dicyrtoma fusca,1
392,Diplopoda,Glomeridae,Glomeris marginata,1
393,Diplopoda,Glomeridae,Glomeris spec juv {m},1
394,Diplopoda,Glomeridae,Glomeris undulata,1
395,Diplopoda,Julidae,Julidae juv spec {m},1
396,Diplopoda,Polydesmidae,Polydesmidae,1
397,NA,NA,NA,0
398,Diplopoda,Polydesmidae,Polydesmus spec juv,1
399,Diplopoda,Julidae,Tachypodoiulus niger,1
400,Diplopoda,Julidae,Unciger foetidus,1
401,Basal,Plants,plants,0
402,Basal,Roots,roots,0
403,Basal,Roots,root exudates,0
404,Basal,Fungi,mykorrhiza,0
405,Basal,Fungi,saphrophytes,0
406,Basal,Nematoda,bacterivor nematodes,1
407,Basal,Nematoda,fungivor nematodes,1
408,Basal,Nematoda,root feeding nematodes,1
409,Basal,Nematoda,predatious nematodes,1
410,Basal,Nematoda,omniv. Nematodes,1
411,Basal,Bacteria,bacteria,0
412,Basal,Protozoa,flagelata,0
413,Basal,Protozoa,ciliata,0
414,Basal,Protozoa,amoeba,0
415,Basal,Algae,algae,0
416,Enchitraeidae,Enchitraeidae,enchitraeidae,1
417,Basal detritus,detritus,dead organic matter detritus,0
418,Mesostigmata,Phytoseinae,Amblyseius cf nemorivagus (ad),1
419,Mesostigmata,Eviphididae,Eviphis sp (juv),1
420,Mesostigmata,Macrochelidae,Geholaspis longispinosus (juv),1
421,Mesostigmata,Macrochelidae,Geholaspis longispinosus (ad),1
422,Mesostigmata,Hypoaspididae,Hypoaspis aculeifer (juv),1
423,Mesostigmata,Podocinidae,Lasioseius lawrencei (ad),1
424,Mesostigmata,Ascidae,Leioseius elongatus (ad),1
425,Mesostigmata,Pergamasinae,Leptogamasus cf tectegynellus (ad),1
426,Mesostigmata,Pergamasinae,Leptogamasus sp (ad),1
427,Mesostigmata,Pergamasinae,Lysigamasus cf runcatellus (ad),1
428,Mesostigmata,Pergamasinae,Lysigamasus jugincola (ad),1
429,Mesostigmata,Pergamasinae,Lysigamasus runcatellus (ad),1
430,Mesostigmata,Pergamasinae,Lysigamasus puerilis (juv),1
431,Mesostigmata,Pergamasinae,Lysigamasus sp (ad),1
432,Mesostigmata,Macrochelidae,Macrocheles opacus (ad),1
433,Mesostigmata,Macrochelidae,Macrocheles sp (ad),1
434,Mesostigmata,Pachylaelapidae,Pachylaelaps bellicosus (ad),1
435,Mesostigmata,Pachylaelapidae,Pachylaelaps cf bellicosus (juv),1
436,Mesostigmata,Pachylaelapidae,Pachylaelaps laeuchlii (ad),1
437,Mesostigmata,Pachylaelapidae,Pachylaelaps sp (juv),1
438,Collembola,Entomobryidae,Entomobrya corticalis,1
439,Mesostigmata,Pergamasinae,Pergamasus norvegicus (ad),1
440,Mesostigmata,Pergamasinae,Pergamasus quisquiliarum (ad),1
441,Collembola,Entomobryidae,Entomobrya cf. multifasciata,1
442,Basal detritus,detritus,litter detritus,1
443,Mesostigmata,Zerconidae,Prozercon kochi (ad),1
444,Mesostigmata,Hypoaspididae,Pseudoparasitus placentulus (ad),1
445,Mesostigmata,Hypoaspididae,Pseudoparasitus placentulus (juv),1
446,Mesostigmata,Rhodacaridae,Rhodacarellus cf kreuzi (juv),1
447,Mesostigmata,Rhodacaridae,Rhodacarus coronatus (juv),1
448,Mesostigmata,Rhodacaridae,Rhodacarus coronatus (ad),1
449,Mesostigmata,Rhodacaridae,Rhodacarus sp (ad),1
450,Mesostigmata,Trematuridae,Trichouropoda ovalis (ad),1
451,Mesostigmata,Urodinychidae,Urodiaspis shcherbakae (ad),1
452,Mesostigmata,Urodinychidae,Urodiaspis tecta (ad),1
453,NA,NA,NA,0
454,Collembola,Entomobryidae,Entomobrya quinquelineata,1
455,Mesostigmata,Veigaiaidae,Veigaia cf propingua (juv),1
456,Mesostigmata,Veigaiaidae,Veigaia planicola (ad),1
457,Mesostigmata,Veigaiaidae,Veigaia planicola (juv),1
458,Collembola,Isotomidae,Folsomia brevicauda,1
459,Mesostigmata,Parasitidae,Vulgarogamasus kraepelini (juv),1
460,Mesostigmata,Parasitidae,Vulgarogamasus kraepelini (ad),1
461,Mesostigmata,Parasitidae,Vulgarogamasus sp (ad),1
462,Mesostigmata,Zerconidae,Zercon cf peltatus (ad),1
463,Mesostigmata,Zerconidae,Zercon cf peltatus (juv),1
464,Mesostigmata,Halolaelapidae,Leitneria granulata (ad),1
