Column1,sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
439,"Chaoboridae (gen. indet., larva)",detritivore parasite,detritivore,parasite,439,Diptera,2,3,15,14,4.251798561151079,4.0,1.5,0.6104651162790697,3.5855201553043283,1.4666666666666668,2.249642218246869
440,Chironomidae (gen. et sp. indet.),detritivore parasite,detritivore,parasite,440,Diptera,2,3,14,15,3.1,2.0,1.5,4.038461538461538,3.5855201553043283,1.4666666666666668,2.249642218246869
441,Culicidae (gen. et sp. indet.),detritivore parasite,detritivore,parasite,441,Diptera,3,3,9,12,3.4047619047619047,3.0,1.4,2.1,3.5855201553043283,1.4666666666666668,2.249642218246869
464,Syrphidae (gen. et sp. indet.),fungivore herbivore (PO),fungivore,herbivore (PO),464,Diptera,3,3,0,9,1.0,0.0,1.09375,0.0,1.0,1.09375,0.0
500,Limnephilidae (gen. et sp. indet.),detritivore herbivore (SFF),detritivore,herbivore (SFF),500,Trichoptera,2,3,19,10,3.619047619047619,6.0,1.3461538461538463,0.4794520547945205,2.812698412698413,1.3134426703894448,3.417393109173931
501,Fam. indet. (larval cases),detritivore herbivore (SFF),detritivore,herbivore (SFF),501,Trichoptera,2,3,12,9,2.533333333333333,2.0,1.2650602409638554,4.7727272727272725,2.812698412698413,1.3134426703894448,3.417393109173931
558,Lepisosteidae (Atractosteus kinkelini),piscivore ,piscivore,,558,Lepisosteiformes,3,2,9,8,4.231111111111112,4.0,9.545454545454545,0.6140350877192983,4.522158018300478,20.526185770750985,0.49745556786208084
559,Lepisosteidae (Masillosteus kelleri),predator ,predator,,559,Lepisosteiformes,3,2,6,3,4.604938271604938,4.0,17.5,0.49295774647887325,4.570799790446426,14.83306623931624,0.5160820297446316
560,Amiidae (Cyclurus kehreri),piscivore predator,piscivore,predator,560,Amiiformes,3,2,10,7,4.333333333333334,4.0,10.5,0.5357142857142857,4.333333333333334,10.5,0.5357142857142857
561,Thaumaturidae (Thaumaturus intermedius),omnivore predator,omnivore,predator,561,Clupeocephala,3,2,12,16,4.074468085106383,4.0,1.1170212765957446,0.6818181818181818,4.074468085106383,1.1170212765957446,0.6818181818181818
562,Anguillidae (Anguilla ignota),insectivore ,insectivore,,562,Angulliformes,3,2,5,4,4.525925925925926,4.0,10.5,0.5,4.173940872431312,3.489672249327722,0.6186649265980767
563,Moronidae (Palaeoperca proxima),insectivore ,insectivore,,563,Perciformes,3,2,19,14,4.115681233933162,3.0,1.1931818181818181,0.7191780821917808,4.173940872431312,3.489672249327722,0.6186649265980767
564,Moronidae (Rhenanoperca minuta),insectivore ,insectivore,,564,Perciformes,3,2,19,7,4.105398457583547,3.0,5.833333333333333,0.7291666666666666,4.173940872431312,3.489672249327722,0.6186649265980767
565,Percichthyidae (Amphiperca multiformis),piscivore ,piscivore,,565,Perciformes,3,2,4,12,4.435185185185185,4.0,4.565217391304348,0.5023923444976076,4.522158018300478,20.526185770750985,0.49745556786208084
566,Pelobatidae (Eopelobates wagneri),predator ,predator,,566,Anura,3,3,14,7,4.073170731707317,4.0,1.1538461538461537,0.695364238410596,4.570799790446426,14.83306623931624,0.5160820297446316
567,Palaeobatrachidae (Messelobatrachus tobieni),insectivore ,insectivore,,567,Anura,3,3,2,8,4.407407407407407,5.0,1.2352941176470589,0.47085201793721976,4.173940872431312,3.489672249327722,0.6186649265980767
568,Fam. indet. (Lutetiobatrachus gracilis),insectivore ,insectivore,,568,Anura,3,3,17,4,3.9475655430711614,3.0,1.0824742268041236,0.7094594594594594,4.173940872431312,3.489672249327722,0.6186649265980767
