trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,guild_ntp,sp_closeness,guild_closeness,sp_out_closeness,sp_in_closeness,guild_out_closeness,guild_in_closeness
81,81,partially terrestrial epilithic/epiphytic algae,1,0,7,1.0,0.0,1.0,0.0,0.0,4.315789473684211,0.0,4.2858187134502925,0.0
82,82;84;85;86,aquatic saprotrophs,4,1,1,2.0,1.0,2.0,82.0,82.0,8.2,82.0,4.1,82.0
83,83,aquatic saprotrophs,1,1,0,2.0,1.0,2.0,82.0,82.0,0.0,82.0,4.1,82.0
87,87,small algae parasites,1,5,1,2.0,1.0,2.0,16.4,16.4,8.2,16.4,8.2,16.4
88,88,aquatic macrophyte parasites,1,5,1,2.0,1.0,2.0,16.4,16.4,8.2,16.4,8.2,16.4
89,89,nematodes,1,2,4,3.0,2.0,3.0,4.555555555555555,4.555555555555555,4.555555555555555,4.555555555555555,4.555555555555555,4.555555555555555
90,90,swimming filter feeders,1,1,1,3.0,2.0,3.0,27.333333333333332,17.083333333333332,13.666666666666666,27.333333333333332,13.666666666666666,17.083333333333332
91,91,swimming filter feeders,1,2,1,3.0,2.0,3.0,6.833333333333333,17.083333333333332,13.666666666666666,6.833333333333333,13.666666666666666,17.083333333333332
92,92,swimming scrapers,1,9,1,2.5384615384615383,2.0,2.5384615384615383,4.823529411764706,4.823529411764706,13.666666666666666,4.823529411764706,13.666666666666666,4.823529411764706
93,93,arthropod  omnivores,1,5,1,3.8,4.0,4.041891891891892,0.8817204301075269,1.0620723362658846,27.333333333333332,0.8817204301075269,27.333333333333332,1.0620723362658846
94,94,arthropod  omnivores,1,14,2,4.283783783783784,3.0,4.041891891891892,1.2424242424242424,1.0620723362658846,27.333333333333332,1.2424242424242424,27.333333333333332,1.0620723362658846
95,95,benthic predators,1,1,1,4.904761904761905,5.0,4.904761904761905,0.656,0.656,27.333333333333332,0.656,27.333333333333332,0.656
