Analysis,SLN_ID,habitat,vertebrates,resource_type,Detritus,S,Interactions,L_D,C,Basal,Top,Herbiv,Carniv,MeanInDegree,StdInDegree,Mean_longest_chain,Mean_NTP,Max_NTP,Mean_NTP_norm,TrOmniv,q_inCoherence,Mean_path_len,Std_path_len
Rhynie_lumped,94,both,no,mixed,2,37,114,3.081081081,0.085585586,0.314285714,0,0.125,0.5,4.75,3.858925284,1.27027027,2.270759208,4.647058824,0.488644387,0.583333333,0.782772612,1.821428571,0.764516453
Rhynie_lumped,95,both,no,mixed,2,37,119,3.216216216,0.089339339,0.314285714,0,0.208333333,0.458333333,4.958333333,3.961545226,1.324324324,2.359444845,4.705882353,0.501382029,0.625,0.821677007,1.884735202,0.767982752
Rhynie_lumped,96,both,no,mixed,2,37,90,2.432432432,0.067567568,0.314285714,0.108108108,0.125,0.541666667,3.75,2.952522871,1.27027027,2.24239493,4.3125,0.519975636,0.666666667,0.665297336,1.732057416,0.682878577
Rhynie_lumped,97,both,no,mixed,2,37,98,2.648648649,0.073573574,0.314285714,0.108108108,0.125,0.458333333,4.083333333,3.693904105,1.351351351,2.270220726,5,0.454044145,0.708333333,0.577857678,1.820512821,0.829865128
Rhynie_lumped,98,both,no,mixed,2,37,90,2.432432432,0.067567568,0.314285714,0.162162162,0.166666667,0.5,3.75,3.300197623,1.540540541,2.449723011,5.090909091,0.481195592,0.666666667,0.663103284,2.066420664,0.967632521
Rhynie_lumped,99,both,no,mixed,2,37,67,1.810810811,0.0503003,0.314285714,0.189189189,0.208333333,0.583333333,2.791666667,2.858688764,1.351351351,2.234568373,4.5,0.49657075,0.5,0.612302144,1.971153846,0.785825278
Rhynie_complete,1,both,no,mixed,2,96,293,3.052083333,0.032127193,0.287234043,0.104166667,0.626865672,0.208955224,4.373134328,5.418363336,1.166666667,2.134236539,5.818181818,0.366821905,0.28358209,0.527998297,2.263724435,1.148644025
Rhynie_complete,10,both,no,mixed,2,96,252,2.625,0.027631579,0.287234043,0.135416667,0.641791045,0.23880597,3.76119403,5.155431241,1.072916667,2.038399864,5.1875,0.392944552,0.223880597,0.457511742,2.027063599,0.942420001
Rhynie_complete,100,both,no,mixed,2,96,323,3.364583333,0.035416667,0.287234043,0.03125,0.626865672,0.194029851,4.820895522,7.070907904,1.239583333,2.071483796,4.666666667,0.443889385,0.328358209,0.62817036,1.919456067,0.875972529
Rhynie_complete,11,both,no,mixed,2,96,236,2.458333333,0.025877193,0.287234043,0.125,0.656716418,0.23880597,3.52238806,5.106022021,1.125,2.104653919,5.380434783,0.391168001,0.23880597,0.580039195,2.194444444,1.032690814
Rhynie_complete,12,both,no,mixed,2,96,273,2.84375,0.029934211,0.287234043,0.083333333,0.641791045,0.223880597,4.074626866,5.59846687,1.177083333,2.092553544,4.948717949,0.422847607,0.253731343,0.684675768,2.167567568,0.979788732
Rhynie_complete,13,both,no,mixed,2,96,218,2.270833333,0.023903509,0.287234043,0.229166667,0.71641791,0.208955224,3.253731343,3.345477651,0.989583333,1.989217035,4.797297297,0.414653692,0.194029851,0.423339081,1.878181818,0.856602113
Rhynie_complete,14,both,no,mixed,2,96,307,3.197916667,0.033662281,0.287234043,0.072916667,0.671641791,0.208955224,4.582089552,6.742334039,1.104166667,2.05699225,4.875,0.421947128,0.253731343,0.5618088,2.077577046,0.931332194
